<Ticker>,<Per>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
GHESHESFA,d,20081019,000000,23,23,23,23,30010
GHESHESFA,d,20081021,000000,23,23,23,23,13404
GHESHESFA,d,20081102,000000,24,24,23,23,49204
GHESHESFA,d,20081110,000000,23,23,23,23,780
GHESHESFA,d,20081116,000000,23,23,23,23,396
GHESHESFA,d,20081123,000000,24,24,23,23,1010
GHESHESFA,d,20081124,000000,23,23,23,23,299
GHESHESFA,d,20081202,000000,24,24,24,24,67200
GHESHESFA,d,20081203,000000,25,25,25,25,70000
GHESHESFA,d,20081206,000000,25,25,25,25,5000
GHESHESFA,d,20081208,000000,26,26,26,26,5000
GHESHESFA,d,20081214,000000,26,26,26,26,5000
GHESHESFA,d,20081215,000000,26,26,26,26,4685
GHESHESFA,d,20081216,000000,26,26,26,26,10650
GHESHESFA,d,20081230,000000,25,25,25,25,2000
GHESHESFA,d,20090105,000000,25,25,25,25,233
GHESHESFA,d,20090110,000000,24,24,24,24,19767
GHESHESFA,d,20090215,000000,25,32,25,32,1140
GHESHESFA,d,20090218,000000,30,30,30,30,20
GHESHESFA,d,20090223,000000,30,30,30,30,78000
GHESHESFA,d,20090225,000000,29,29,29,29,11370
GHESHESFA,d,20090301,000000,29,29,29,29,4500
GHESHESFA,d,20090302,000000,29,29,29,29,20000
GHESHESFA,d,20090304,000000,29,29,29,29,16000
GHESHESFA,d,20090307,000000,29,29,29,29,10573
GHESHESFA,d,20090308,000000,28,28,28,28,10000
GHESHESFA,d,20090309,000000,28,28,28,28,6000
GHESHESFA,d,20090311,000000,28,28,28,28,20000
GHESHESFA,d,20090314,000000,28,28,28,28,1210
GHESHESFA,d,20090316,000000,28,28,28,28,30000
GHESHESFA,d,20090317,000000,28,28,28,28,20000
GHESHESFA,d,20090318,000000,27,28,27,28,5048
GHESHESFA,d,20090426,000000,30,30,30,30,61315
GHESHESFA,d,20090427,000000,30,30,30,30,30000
GHESHESFA,d,20090428,000000,30,30,30,30,25000
GHESHESFA,d,20090502,000000,31,31,31,31,5000
GHESHESFA,d,20090505,000000,31,31,31,31,24355
GHESHESFA,d,20090506,000000,30,32,30,32,2429
GHESHESFA,d,20090510,000000,32,32,32,32,39965
GHESHESFA,d,20090511,000000,32,32,32,32,50000
GHESHESFA,d,20090512,000000,33,33,33,33,1000
GHESHESFA,d,20090628,000000,36,36,36,36,780
GHESHESFA,d,20090629,000000,35,37,35,37,2000
GHESHESFA,d,20090704,000000,36,36,36,36,11420
GHESHESFA,d,20090705,000000,35,35,35,35,3000
GHESHESFA,d,20090812,000000,37,37,37,37,500
GHESHESFA,d,20090815,000000,37,37,37,37,500
GHESHESFA,d,20090816,000000,37,37,37,37,200
GHESHESFA,d,20090818,000000,37,37,37,37,100
GHESHESFA,d,20090819,000000,37,37,37,37,10020
GHESHESFA,d,20090822,000000,37,37,37,37,1500
GHESHESFA,d,20090823,000000,37,37,37,37,100
GHESHESFA,d,20090824,000000,37,37,37,37,700
GHESHESFA,d,20090825,000000,37,37,37,37,100
GHESHESFA,d,20090829,000000,37,37,37,37,1000
GHESHESFA,d,20090830,000000,37,37,37,37,40000
GHESHESFA,d,20090831,000000,38,38,38,38,5000
GHESHESFA,d,20090901,000000,38,38,38,38,1100
GHESHESFA,d,20090905,000000,38,38,38,38,2960
